	x	y
SAAM-1910.9.16_1	0.24479866	0.3359164
SAAM-1991.56.172_1	0.23540485	0.6045383
SAAM-1983.95.166_1	0.86742914	0.54903615
SAAM-1983.95.65_2	0.8099166	0.27392447
SAAM-1974.69.8_1	0.40995562	0.08102727
SAAM-1974.69.18_1	0.64120436	0.42740023
SAAM-1911.2.2_1	0.6097045	0.43756282
SAAM-1930.12.61_1	0.91458595	0.4988557
SAAM-1927.5.6_2	0.38168752	0.7208456
SAAM-1952.13.119_1	0.23511517	0.4973377
SAAM-1985.66.384190_1	0.61255634	0.6558691
SAAM-1983.95.30_1	0.5006434	0.5640844
SAAM-1983.83.273_1	0.5786928	0.8145524
SAAM-1968.59.1_2	0.6311451	0.6448184
SAAM-1966.36.106_1	0.45958066	0.70731175
SAAM-1983.26_1	0.6420884	0.3146118
SAAM-1950.6.16_1	0.50141466	0.88481104
SAAM-1967.6.22_1	0.007511735	0.5176121
SAAM-1985.66.563_1	0.26688576	0.12005508
SAAM-1916.6.48_1	0.15108204	0.4581939
SAAM-1974.69.12_1	0.45654798	0.07106745
SAAM-1979.138_1	0.3544767	0.43956125
SAAM-1952.13.143_1	0.61476743	0.23457062
SAAM-1975.83.117_1	0.9673166	0.5902096
SAAM-1983.95.117_1	0.67127204	0.091153264
SAAM-1983.95.116_1	0.6144612	0.08262265
SAAM-1965.18.36_1	0.38699508	0.9999999
SAAM-1984.48_1	0.6359247	0.10849428
SAAM-1950.2.26D_1	0.3841641	0.93845546
SAAM-1950.2.12_1	0.56896615	0.78828204
SAAM-1983.90.210_1	0.7966695	0.43240988
SAAM-1967.125_1	0.7933816	0.47146356
SAAM-1962.4.9_1	0.72420514	0.24106538
SAAM-1929.6.133_1	0.6735368	0.0030645132
SAAM-1956.11.15_1	0.8840401	0.2771634
SAAM-1952.13.161_2	0.8232273	0.38627493
SAAM-1929.6.132_1	0.49409103	0.6466807
SAAM-1996.91.8_1	0.39355373	0.113604665
SAAM-1965.14.8_1	0.6576363	0.7202538
SAAM-1933.4.9_1	0.79623246	0.60523355
SAAM-1983.83.128_1	0.189677	0.70610726
SAAM-1969.139_1	0.8293197	0.59387314
SAAM-1956.11.37_1	0.6455649	0.35571086
SAAM-1985.66.326802_1	0.51403046	0.7288102
SAAM-2006.1.2_1	0.76299155	0.38659775
SAAM-1983.95.73_1	0.2740754	0.48039734
SAAM-1983.95.76_1	0.66189563	0.34952486
SAAM-1974.28.58_1	0.14379525	0.61032116
SAAM-1909.7.71_1	0.8098608	0.141662
SAAM-1996.68_1	0.4969983	0.8803512
SAAM-1930.12.4_1	0.8176036	0.0638386
SAAM-1920.2.1_2	0.68420327	0.08166742
SAAM-1976.153.29B_1	0.1331321	0.4849223
SAAM-1985.66.362_1	0.8071588	0.8104459
SAAM-1970.79_1	0.40727067	0.7403983
SAAM-1950.2.1_1	0.88455427	0.26635253
SAAM-1991.56.168_1	0.55893993	0.6733483
SAAM-1985.66.398_1	0.78269553	0.7145959
SAAM-1967.56.28_1	0.8634592	0.14959002
SAAM-1909.9.7_1	0.6420529	0.049542427
SAAM-1978.72_4	0.5033127	0.8816503
SAAM-1981.171B_1	0.5234765	0.5378314
SAAM-1968.19.13_1	0.1007514	0.6146344
SAAM-2014.67.1_1	0.23135066	0.32386816
SAAM-1983.83.269_1	0.6844419	0.80370915
SAAM-1985.66.348_1	0.73967946	0.5989076
SAAM-1909.7.48_1	0.936479	0.21971667
SAAM-1970.288_1	0.8247378	0.46932685
SAAM-1983.95.106_1	0.932696	0.21798074
SAAM-1968.121.1_1	0.012586594	0.5189513
SAAM-1985.66.326798_1	0.1289128	0.7181686
SAAM-1968.123.1_2	0.009473503	0.5228597
SAAM-1966.34.7_1	0.41434252	0.3519479
SAAM-1997.30_1	0.7937629	0.68370306
SAAM-1985.79.1_1	0.9190346	0.6043252
SAAM-1983.95.136_1	0.76669955	0.1084075
SAAM-1983.95.115_1	0.7637845	0.15691257
SAAM-1968.59.2_1	0.250358	0.62710035
SAAM-1952.13.102_1	0.27199578	0.5257875
SAAM-1962.4.10_1	0.7100555	0.18804896
SAAM-1981.62_2	0.8055638	0.5391811
SAAM-1950.2.3_1	0.66029954	0.3632058
SAAM-1968.20.1_1	0.77835083	0.38075244
SAAM-1985.66.333_1	0.7663585	0.70492804
SAAM-1935.12.8_1	0.77016413	0.06316924
SAAM-2004.30.3_1	0.7832329	0.5738503
SAAM-1909.7.17_1	0.7114241	0.08099115
SAAM-1930.12.41_1	0.5301323	0.41705573
SAAM-1983.95.188B_1	0.4214319	0.4431678
SAAM-1956.11.16_1	0.9047494	0.2481457
SAAM-1983.83.182_1	0.6302571	0.75768054
SAAM-1962.13.44_1	0.86615634	0.7295786
SAAM-1909.7.38_1	0.8343862	0.13564575
SAAM-1983.95.140_2	0.88168764	0.24319255
SAAM-1973.133.2_1	0.7939751	0.5956918
SAAM-1968.121.2_1	0.29960668	0.46930468
SAAM-1983.95.198_1	0.9918089	0.5099553
SAAM-1991.56.68_1	0.33160126	0.71300614
SAAM-1952.13.86A-B_1	0.80655825	0.53973687
SAAM-2006.1.1_1	0.88046193	0.54032385
SAAM-1959.14_2	0.2373532	0.34626663
SAAM-1962.13.67_1	0.1651187	0.45368326
SAAM-1983.95.88_2	0.925634	0.22683609
SAAM-1983.95.118_1	0.85422015	0.21922028
SAAM-1983.83.193_1	0.63964593	0.7552537
SAAM-1933.4.12_1	0.6961285	0.34003222
SAAM-1952.13.87_1	0.8799318	0.4689442
SAAM-1965.18.69_1	0.2581966	0.622959
SAAM-1962.13.38_1	0.49812114	0.848266
SAAM-1962.13.49_1	0.1434356	0.7187406
SAAM-1930.12.59_1	0.6427523	0.20024693
SAAM-1985.66.352_1	0.95698285	0.52533185
SAAM-1962.4.19_1	0.7897066	0.35656345
SAAM-1952.13.126_1	0.18527687	0.5541073
SAAM-1983.114.18_1	0.31943464	0.3877703
SAAM-1983.114.14_1	0.36178398	0.15989935
SAAM-1930.12.67_1	0.74517417	0.48052204
SAAM-1962.8.6_1-000001	0.30931532	0.6418458
SAAM-2014.67.2_1	0.2352525	0.32374418
